Region,Sites,Avg_Referral_Disparity_Black,Avg_Transplant_Delay_Disparity,Avg_Eligibility_Gap_Black,Black_Pop_Pct
Ann Arbor - Washtenaw,12,-0.007805890804597701,5.165086206896552,-0.011494252873563218,0.12056666666666667
Detroit Metro,35,-0.004773103448275862,5.16832512315271,-0.004433497536945813,0.2197714285714286
Flint - Genesee,10,-0.003811896551724138,5.2941379310344825,-0.005172413793103448,0.20210999999999998
Grand Rapids - Kent,18,-0.005109961685823754,5.141570881226054,0.0,0.08833333333333333
Jackson,8,-0.005576508620689655,5.226939655172414,-0.00646551724137931,0.09188750000000001
Kalamazoo,10,-0.0057677586206896555,5.141206896551724,-0.005172413793103448,0.10518999999999999
Lansing - Ingham,14,-0.006029064039408867,5.15960591133005,-0.0049261083743842365,0.1094142857142857
Midland,6,-0.004703448275862069,5.083333333333333,-0.0028735632183908046,0.034616666666666664
Monroe,6,-0.002933333333333333,5.149425287356322,0.0,0.03941666666666667
Muskegon,8,-0.005142672413793104,5.08125,-0.004310344827586207,0.13536250000000002
Saginaw - Bay City,12,-0.006322844827586206,5.118390804597701,-0.007183908045977011,0.17931666666666668
Southwest Michigan,12,-0.004259913793103448,5.175862068965517,-0.0014367816091954023,0.13838333333333333
Traverse City - Northwest,10,-0.0069050000000000005,5.119827586206896,-0.006896551724137931,0.01896
Upper Peninsula,15,-0.004524827586206897,5.201379310344827,-0.0034482758620689655,0.024306666666666664
Ypsilanti - Eastern Washtenaw,8,-0.004422198275862069,5.192025862068966,-0.004310344827586207,0.275625
